x,y,t,id
-73.8142031,42.7271532,2011-01-21T04:26:07Z,1469
-73.8162913,42.7278785,2011-01-21T04:30:05Z,1469
-73.8160266,42.7289716,2011-01-21T04:34:08Z,1469
-73.8160786,42.7317902,2011-01-21T04:40:23Z,1469
-73.815685,42.7326996,2011-01-21T04:43:10Z,1469
-73.8156734,42.7327513,2011-01-21T04:44:05Z,1469
-73.8154626,42.7326057,2011-01-21T04:46:08Z,1469
-73.81561,42.7330316,2011-01-21T04:48:09Z,1469
-73.8156356,42.7330395,2011-01-21T04:50:09Z,1469
-73.8154509,42.7324887,2011-01-21T04:52:08Z,1469
-73.8158171,42.7308188,2011-01-21T04:54:10Z,1469
-73.8171882,42.729318,2011-01-21T04:56:07Z,1469
-73.8178982,42.7287823,2011-01-21T04:58:07Z,1469
-73.8186754,42.7282179,2011-01-21T05:00:12Z,1469
-73.8192465,42.7270232,2011-01-21T05:02:14Z,1469
-73.8203475,42.7263232,2011-01-21T05:04:08Z,1469
-73.8215531,42.7243943,2011-01-21T05:57:01Z,1469
-73.8214849,42.7244651,2011-01-21T06:00:40Z,1469
-73.8215839,42.7243756,2011-01-21T06:02:06Z,1469
-73.8215374,42.7244157,2011-01-21T06:04:07Z,1469
-73.8215929,42.724475,2011-01-21T06:06:10Z,1469
-73.8216034,42.7244375,2011-01-21T06:08:08Z,1469
-73.8215823,42.7244496,2011-01-21T06:10:05Z,1469
-73.8215088,42.7243308,2011-01-21T06:20:24Z,1469
-73.8214702,42.7244442,2011-01-21T06:22:06Z,1469
-73.8194264,42.7228519,2011-01-21T06:26:16Z,1469
-73.8187091,42.7216619,2011-01-21T06:29:09Z,1469
-73.8183461,42.7215031,2011-01-21T06:30:06Z,1469
-73.8180644,42.7212977,2011-01-21T06:32:06Z,1469
-73.8181006,42.7209785,2011-01-21T06:34:08Z,1469
-73.8177641,42.7209458,2011-01-21T06:36:09Z,1469
-73.8178157,42.7210791,2011-01-21T06:38:08Z,1469
-73.817186,42.7218378,2011-01-21T06:40:05Z,1469
-73.8165989,42.7218613,2011-01-21T06:42:06Z,1469
-73.816113,42.7226616,2011-01-21T06:44:07Z,1469
-73.8165477,42.7237761,2011-01-21T06:46:09Z,1469
-73.8158787,42.7249309,2011-01-21T06:48:07Z,1469
-73.8157146,42.7255915,2011-01-21T06:50:09Z,1469
-73.8158387,42.7265381,2011-01-21T06:52:09Z,1469
-73.8145788,42.7273099,2011-01-21T06:54:07Z,1469
-73.813588,42.7268129,2011-01-21T06:56:52Z,1469
-73.8130868,42.7262332,2011-01-21T06:58:07Z,1469
-73.8115703,42.7244535,2011-01-21T07:09:00Z,1469
-73.8091085,42.7261822,2011-01-21T21:45:13Z,1469
